,rjd,vrad,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,drift_used,berv_err,cal_therror,cal_therror_err,cal_thfile,ccf_asym,ccf_asym_err,ccf_noise,ccf_noise_err,date_night,drift_noise,drift_noise_err,drift_used_err,drs_qc,mask,night,protm08,protm08_err,protn84,protn84_err,pub_reference,public,raw_file,rjd_err,snca2,snca2_err,spectroFluxSn20,spectroFluxSn20_err,spectroFluxSn50,spectroFluxSn50_err,texp,texp_err,fileroot,instrument,lamp_offset,model,mjd
0,53690.800371,-6165.793772,0.346621,6446.981079,9.117408,16.974495,0.490196,47.830727,1e-06,0.131768,0.000468,0.250847,0.000355,0.18425,0.000206,0.109612,0.000324,0.0,0.0,-1.974908,-0.099,0,0.185321,0,HARPS.2005-11-15T20:36:03.899_wave_A.fits,0,0,0.273455,0,2005-11-15,0.105,0,0,1.0,K5,2005-11-15,0.0,0.0,0.0,0.0,,0.0,HARPS.2005-11-16T07:05:03.095.fits,0,0,0,120.9,0,234.8,0,30.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2005-11-16T07:05:03.095_s1d_A.fits,HARPS03,0,-6.161112778010172,53690.300371
1,53690.801054,-6166.208233,0.346925,6447.975248,9.118814,17.099981,0.490625,47.821839,1e-06,0.131604,0.000459,0.250807,0.000364,0.184511,0.000209,0.109661,0.000319,0.0,0.0,-1.976622,-0.245,0,0.185321,0,HARPS.2005-11-15T20:36:03.899_wave_A.fits,0,0,0.273839,0,2005-11-15,0.105,0,0,1.0,K5,2005-11-15,0.0,0.0,0.0,0.0,,0.0,HARPS.2005-11-16T07:06:03.552.fits,0,0,0,122.5,0,233.0,0,30.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2005-11-16T07:06:03.552_s1d_A.fits,HARPS03,0,-6.161258778010172,53690.301054
2,53690.801783,-6166.352784,0.358872,6448.607432,9.119708,15.70674,0.507522,47.820049,1e-06,0.131539,0.000495,0.250584,0.00038,0.184476,0.000219,0.109883,0.00034,0.0,0.0,-1.978471,-0.122,0,0.185321,0,HARPS.2005-11-15T20:36:03.899_wave_A.fits,0,0,0.288826,0,2005-11-15,0.105,0,0,1.0,K5,2005-11-15,0.0,0.0,0.0,0.0,,0.0,HARPS.2005-11-16T07:07:06.508.fits,0,0,0,115.4,0,221.5,0,30.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2005-11-16T07:07:06.508_s1d_A.fits,HARPS03,0,-6.1611357780101725,53690.301783
3,53811.488128,-6158.171097,0.315543,6447.387565,9.117983,16.236736,0.446245,47.821673,1e-06,0.135403,0.000365,0.25294,0.000318,0.182456,0.00018,0.112546,0.000256,-5.193353,0.001712,-21.946163,0.774,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.229983,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.246218,5.1816,55.781933,10.275412,,0.0,HARPS.2006-03-16T23:46:41.842.fits,0,0,0,146.4,0,272.6,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:46:41.842_s1d_A.fits,HARPS03,0,-6.1602397780101725,53810.988128
4,53811.489123,-6160.48358,0.316245,6446.28964,9.11643,15.866768,0.447238,47.825522,1e-06,0.134072,0.000399,0.252956,0.000296,0.181744,0.000172,0.111083,0.000275,-5.199644,0.001901,-21.947703,0.996,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.230946,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.660242,5.1816,56.140438,10.341451,,0.0,HARPS.2006-03-16T23:48:08.061.fits,0,0,0,139.3,0,279.8,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:48:08.061_s1d_A.fits,HARPS03,0,-6.160017778010173,53810.989123
5,53811.49006,-6160.649901,0.33627,6445.935734,9.11593,16.934558,0.475558,47.822974,1e-06,0.13476,0.000467,0.252716,0.000326,0.181796,0.000191,0.111518,0.000312,-5.196381,0.002206,-21.949124,0.809,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.257687,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.445509,5.1816,55.953579,10.30703,,0.0,HARPS.2006-03-16T23:49:31.029.fits,0,0,0,124.2,0,251.6,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:49:31.029_s1d_A.fits,HARPS03,0,-6.160204778010172,53810.99006
6,53811.491009,-6160.752814,0.336927,6447.301649,9.117861,16.441194,0.476487,47.81487,1e-06,0.135051,0.000481,0.252116,0.00032,0.18116,0.000189,0.111646,0.000319,-5.195005,0.002267,-21.950552,0.768,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.258544,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.35494,5.1816,55.875364,10.292623,,0.0,HARPS.2006-03-16T23:50:51.287.fits,0,0,0,122.4,0,252.5,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:50:51.287_s1d_A.fits,HARPS03,0,-6.1602457780101725,53810.991009
7,53811.491935,-6161.031515,0.326879,6447.983871,9.118826,17.325735,0.462277,47.818505,1e-06,0.13546,0.000431,0.251612,0.000315,0.181684,0.000183,0.112219,0.000293,-5.193086,0.002023,-21.951935,0.394,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.245306,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.228626,5.1816,55.766862,10.272636,,0.0,HARPS.2006-03-16T23:52:12.215.fits,0,0,0,131.8,0,263.0,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:52:12.215_s1d_A.fits,HARPS03,0,-6.160619778010172,53810.991935
8,53811.492873,-6162.256751,0.322661,6447.280607,9.117832,17.306697,0.456312,47.822404,1e-06,0.134631,0.00042,0.252507,0.000307,0.181691,0.000179,0.111506,0.000287,-5.196991,0.001989,-21.953346,0.44,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.239657,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.48568,5.1816,55.988383,10.313441,,0.0,HARPS.2006-03-16T23:53:32.373.fits,0,0,0,134.5,0,269.8,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:53:32.373_s1d_A.fits,HARPS03,0,-6.160573778010172,53810.992873
9,53811.493775,-6164.016606,0.300974,6448.555156,9.119634,17.570008,0.425641,47.816367,1e-06,0.135107,0.000355,0.251972,0.000268,0.181676,0.000156,0.111415,0.000249,-5.194744,0.001673,-21.954676,0.69,0,0.197752,0,HARPS.2006-03-16T22:35:05.160_wave_A.fits,0,0,0.209548,0,2006-03-16,0.087,0,0,1.0,K5,2006-03-16,62.337782,5.1816,55.860586,10.2899,,0.0,HARPS.2006-03-16T23:54:51.441.fits,0,0,0,153.4,0,309.2,0,45.0,0,/home/denis/w/YY/Yarara/HD23249/data/s1d/HARPS03/raw/HARPS.2006-03-16T23:54:51.441_s1d_A.fits,HARPS03,0,-6.160323778010173,53810.993775
